idiom,definition
battle cry,"(military) An exclamation troops yell out when going to war or battle. (by extension) A strong motto or purpose statement, especially in regards to winning a goal in sports, games or work."
be a man,"(idiomatic, chiefly imperative) To put up with something or take responsibility for it; to deal with something, such as pain or misfortune, without complaining."
be around,"(idiomatic, intransitive) To be alive, existent, or present. (idiomatic, transitive) To be near; to socialize with."
bee in one's bonnet,(idiomatic) Something of particular interest or concern; an obsession.
beef up,"(idiomatic, transitive) to strengthen or reinforce; to add substance to"
"been there, done that","(idiomatic, ironic) An assertion that the speaker has personal experience or knowledge of a particular place or topic."
beer goggles,"(plural only, humorous, idiomatic) The illusion that people are more sexually attractive, brought on by alcohol consumption."
beg to differ,(idiomatic) To offer an opposing opinion humbly. (idiomatic) To differ (strongly) in interpretation or opinion.
behind the scenes,Being or working out in secret or out of public view. Divulging or reporting hidden workings.
being that,(informal) since or because.
believe it or not,"(idiomatic) You may not believe this, but it is true."
believe one's ears,(idiomatic) To believe that something which one hears is truly the case.
believe one's eyes,(idiomatic) To believe that something which one directly sees is truly the case.
believe you me,(idiomatic) An emphatic form of believe me: you (the subject) had better believe me (the speaker).
bells and whistles,(idiomatic) Extra features added for show rather than function; fancy additions or features.
belly up,(idiomatic) Dead or defunct.
belt out,"(informal, transitive) to sing loudly; to emit music loudly"
bend over backwards,"Used other than with a figurative or idiomatic meaning: see bend over,‎ backwards. (idiomatic, informal) To make a great effort; to take extraordinary care; to go to great lengths."
bend the rules,To do something that is not normally allowed but is also not explicitly prohibited.
bent on,(idiomatic) Completely determined; obstinate.
beside the point,"(idiomatic) Irrelevant, moot."
best bet,(idiomatic) The best proposal or plan.
best laid plans,(idiomatic) A proverbial expression used to signify the futility of making detailed plans when the ability to fully or even partially execute them is uncertain.
best of both worlds,"(idiomatic, singular only) A combination of two seemingly contradictory benefits."
best of the bunch,(idiomatic) The best or most preferred person or item within a group.
best regards,(idiomatic) Used as a polite closing of a letter
best thing since sliced bread,(idiomatic) Alternative form of greatest thing since sliced bread
best-kept secret,(idiomatic) Something interesting or important but not well-known.
bet one's bottom dollar,(idiomatic) To be absolutely sure of something; to be certain enough of something to wager everything.
bet the farm,"(idiomatic) To be absolutely certain, to have no doubts."
better and better,continually improving
better angels,(idiomatic) Morally upright or otherwise positive attributes of human character.
better half,"A person's spouse or lover, most commonly a man's wife. (archaic) A very close friend or companion."
bide one's time,"(intransitive, idiomatic) To wait, especially for a suitable opportunity."
big boy,"Used other than with a figurative or idiomatic meaning: see big,‎ boy. (idiomatic) A large object or person. (idiomatic, informal) An adult male, considered to be sufficiently mature and independent."
big boys,plural of big boy
big break,"(entertainment, idiomatic) A breakthrough, especially the first big hit of a previously unknown performer or performers in the entertainment industry."
big bucks,(idiomatic) Lots of money.
big cheese,"(idiomatic) A very important figure, especially a high-ranking person in an organization."
big deal,"(idiomatic, informal) Something very important or difficult, or of great concern; considerable feat or achievement. (idiomatic, informal) Someone very important; a VIP."
big fat,"(idiomatic, derogatory) Complete, utter, total. (idiomatic, colloquial) Huge, colossal."
big fish in a small pond,"(idiomatic) One who has achieved a high rank or is highly esteemed, but only in a small, relatively unimportant, or little known location or organization."
big girl,"Used other than with a figurative or idiomatic meaning: see big,‎ girl. (idiomatic, informal) An adult female. (informal) An older girl or grown-up girl; a girl who is no longer an infant. (informal, derogatory) A timid, weak or effeminate boy or man. A female supposed to behave as a responsible adult. A woman who is overweight."
big gun,"(military) A large artillery gun or one of the largest-caliber naval guns (as on a battleship). (idiomatic, by extension, usually pluralized) A person, group, thing, or course of action that is powerful, influential, or particularly effective."
big guy,"A term of endearment, usually addressed toward an all-around good male person. (countable) Used other than with a figurative or idiomatic meaning: see big,‎ guy."
big house,"(slang) Prison, jail. Used other than with a figurative or idiomatic meaning: see big,‎ house."
big mouth,"(idiomatic) the mouth of someone who talks too much, especially by making exaggerated claims or by inappropriately revealing information (idiomatic) a person who talks too much, especially by making exaggerated claims or by inappropriately revealing information"
big name,"(idiomatic) A widely-known reputation, especially one that is favorable. (idiomatic) A prominent individual, especially one who is favorably regarded. "
big ol',"(idiomatic, chiefly Southern US) Alternative spelling of big old"
big old,"(US, idiomatic, informal, chiefly Southern US) Emphatically or impressively big; really big."
big ole,"(idiomatic, chiefly Southern US) Alternative spelling of big old"
big picture,"Used other than with a figurative or idiomatic meaning: see big,‎ picture. The totality of a situation. (Britain, dated) The main film in a double feature."
